,Okres,Počet všetkých obyvateľov,Počet obyvateľov dorast,Odbor péče,Počet poskytovateľov,Okres-kategoria,Počet všetkých obyvateľov (norm)
431,Rokycany,49489,7742,všeobecné praktické lékařství,32.0,Malý,0.009079872820117544
432,Rokycany,49489,7742,praktické lékařství pro děti a dorost,14.0,Malý,0.009079872820117544
433,Rokycany,49489,7742,chirurgie,5.0,Malý,0.009079872820117544
434,Rokycany,49489,7742,Optometrista,2.0,Malý,0.009079872820117544
435,Rokycany,49489,7742,ortopedie a traumatologie pohybového ústrojí,4.0,Malý,0.009079872820117544
436,Rokycany,49489,7742,kardiologie,2.0,Malý,0.009079872820117544
437,Rokycany,49489,7742,dětské lékařství,1.0,Malý,0.009079872820117544
438,Rychnov nad Kněžnou,79333,12672,praktické lékařství pro děti a dorost,21.0,Malý,0.032083245013970516
439,Rychnov nad Kněžnou,79333,12672,zubní lékařství,31.0,Malý,0.032083245013970516
440,Rychnov nad Kněžnou,79333,12672,všeobecné praktické lékařství,44.0,Malý,0.032083245013970516
441,Rychnov nad Kněžnou,79333,12672,chirurgie,9.0,Malý,0.032083245013970516
442,Rychnov nad Kněžnou,79333,12672,ortopedie a traumatologie pohybového ústrojí,10.0,Malý,0.032083245013970516
443,Rychnov nad Kněžnou,79333,12672,Optometrista,5.0,Malý,0.032083245013970516
444,Rychnov nad Kněžnou,79333,12672,kardiologie,3.0,Malý,0.032083245013970516
445,Rychnov nad Kněžnou,79333,12672,dětské lékařství,2.0,Malý,0.032083245013970516
446,Semily,73815,11521,všeobecné praktické lékařství,50.0,Malý,0.027830041429810194
447,Semily,73815,11521,praktické lékařství pro děti a dorost,21.0,Malý,0.027830041429810194
448,Semily,73815,11521,zubní lékařství,37.0,Malý,0.027830041429810194
449,Semily,73815,11521,ortopedie a traumatologie pohybového ústrojí,15.0,Malý,0.027830041429810194
450,Semily,73815,11521,chirurgie,17.0,Malý,0.027830041429810194
451,Semily,73815,11521,Optometrista,1.0,Malý,0.027830041429810194
452,Semily,73815,11521,kardiologie,5.0,Malý,0.027830041429810194
453,Semily,73815,11521,dětské lékařství,3.0,Malý,0.027830041429810194
454,Sokolov,87503,13761,ortopedie a traumatologie pohybového ústrojí,14.0,Malý,0.03838057616340688
455,Sokolov,87503,13761,chirurgie,14.0,Malý,0.03838057616340688
456,Sokolov,87503,13761,zubní lékařství,28.0,Malý,0.03838057616340688
457,Sokolov,87503,13761,Optometrista,7.0,Malý,0.03838057616340688
458,Sokolov,87503,13761,všeobecné praktické lékařství,46.0,Malý,0.03838057616340688
459,Sokolov,87503,13761,praktické lékařství pro děti a dorost,20.0,Malý,0.03838057616340688
460,Sokolov,87503,13761,dětské lékařství,3.0,Malý,0.03838057616340688
461,Sokolov,87503,13761,kardiologie,2.0,Malý,0.03838057616340688
462,Strakonice,70532,11062,ortopedie a traumatologie pohybového ústrojí,5.0,Malý,0.025299547162539744
463,Strakonice,70532,11062,všeobecné praktické lékařství,45.0,Malý,0.025299547162539744
464,Strakonice,70532,11062,zubní lékařství,39.0,Malý,0.025299547162539744
465,Strakonice,70532,11062,kardiologie,2.0,Malý,0.025299547162539744
466,Strakonice,70532,11062,chirurgie,8.0,Malý,0.025299547162539744
467,Strakonice,70532,11062,Optometrista,9.0,Malý,0.025299547162539744
468,Strakonice,70532,11062,praktické lékařství pro děti a dorost,14.0,Malý,0.025299547162539744
469,Strakonice,70532,11062,dětské lékařství,3.0,Malý,0.025299547162539744
470,Svitavy,104000,16422,praktické lékařství pro děti a dorost,35.0,Stredný,0.05109625204740341
471,Svitavy,104000,16422,všeobecné praktické lékařství,67.0,Stredný,0.05109625204740341
472,Svitavy,104000,16422,zubní lékařství,38.0,Stredný,0.05109625204740341
473,Svitavy,104000,16422,ortopedie a traumatologie pohybového ústrojí,11.0,Stredný,0.05109625204740341
474,Svitavy,104000,16422,Optometrista,7.0,Stredný,0.05109625204740341
475,Svitavy,104000,16422,kardiologie,5.0,Stredný,0.05109625204740341
476,Svitavy,104000,16422,chirurgie,15.0,Stredný,0.05109625204740341
477,Svitavy,104000,16422,dětské lékařství,7.0,Stredný,0.05109625204740341
478,Tachov,54389,8541,všeobecné praktické lékařství,32.0,Malý,0.012856729935446575
479,Tachov,54389,8541,Optometrista,4.0,Malý,0.012856729935446575
480,Tachov,54389,8541,kardiologie,2.0,Malý,0.012856729935446575
481,Tachov,54389,8541,zubní lékařství,23.0,Malý,0.012856729935446575
482,Tachov,54389,8541,ortopedie a traumatologie pohybového ústrojí,4.0,Malý,0.012856729935446575
483,Tachov,54389,8541,chirurgie,6.0,Malý,0.012856729935446575
484,Tachov,54389,8541,praktické lékařství pro děti a dorost,12.0,Malý,0.012856729935446575
485,Tachov,54389,8541,dětské lékařství,1.0,Malý,0.012856729935446575
486,Teplice,128830,20317,všeobecné praktické lékařství,61.0,Veľký,0.07023489738895847
487,Teplice,128830,20317,zubní lékařství,59.0,Veľký,0.07023489738895847
488,Teplice,128830,20317,praktické lékařství pro děti a dorost,24.0,Veľký,0.07023489738895847
489,Teplice,128830,20317,ortopedie a traumatologie pohybového ústrojí,19.0,Veľký,0.07023489738895847
490,Teplice,128830,20317,Optometrista,10.0,Veľký,0.07023489738895847
491,Teplice,128830,20317,chirurgie,15.0,Veľký,0.07023489738895847
492,Teplice,128830,20317,kardiologie,5.0,Veľký,0.07023489738895847
493,Teplice,128830,20317,dětské lékařství,3.0,Veľký,0.07023489738895847
494,Trutnov,117414,17984,všeobecné praktické lékařství,71.0,Stredný,0.061435591097408225
495,Trutnov,117414,17984,Optometrista,7.0,Stredný,0.061435591097408225
496,Trutnov,117414,17984,chirurgie,29.0,Stredný,0.061435591097408225
497,Trutnov,117414,17984,zubní lékařství,61.0,Stredný,0.061435591097408225
498,Trutnov,117414,17984,praktické lékařství pro děti a dorost,35.0,Stredný,0.061435591097408225
499,Trutnov,117414,17984,ortopedie a traumatologie pohybového ústrojí,16.0,Stredný,0.061435591097408225
500,Trutnov,117414,17984,kardiologie,5.0,Stredný,0.061435591097408225
501,Trutnov,117414,17984,dětské lékařství,7.0,Stredný,0.061435591097408225
502,Tábor,102451,15907,zubní lékařství,93.0,Stredný,0.0499023027266596
503,Tábor,102451,15907,Optometrista,13.0,Stredný,0.0499023027266596
504,Tábor,102451,15907,všeobecné praktické lékařství,62.0,Stredný,0.0499023027266596
505,Tábor,102451,15907,kardiologie,8.0,Stredný,0.0499023027266596
506,Tábor,102451,15907,praktické lékařství pro děti a dorost,14.0,Stredný,0.0499023027266596
507,Tábor,102451,15907,ortopedie a traumatologie pohybového ústrojí,13.0,Stredný,0.0499023027266596
508,Tábor,102451,15907,chirurgie,12.0,Stredný,0.0499023027266596
509,Tábor,102451,15907,dětské lékařství,11.0,Stredný,0.0499023027266596
510,Třebíč,110337,16550,praktické lékařství pro děti a dorost,50.0,Stredný,0.05598073032084016
511,Třebíč,110337,16550,všeobecné praktické lékařství,140.0,Stredný,0.05598073032084016
512,Třebíč,110337,16550,zubní lékařství,55.0,Stredný,0.05598073032084016
513,Třebíč,110337,16550,Optometrista,14.0,Stredný,0.05598073032084016
514,Třebíč,110337,16550,ortopedie a traumatologie pohybového ústrojí,10.0,Stredný,0.05598073032084016
515,Třebíč,110337,16550,kardiologie,6.0,Stredný,0.05598073032084016
516,Třebíč,110337,16550,chirurgie,11.0,Stredný,0.05598073032084016
517,Třebíč,110337,16550,dětské lékařství,7.0,Stredný,0.05598073032084016
518,Uherské Hradiště,141630,21263,všeobecné praktické lékařství,104.0,Veľký,0.08010097311879757
519,Uherské Hradiště,141630,21263,praktické lékařství pro děti a dorost,31.0,Veľký,0.08010097311879757
520,Uherské Hradiště,141630,21263,zubní lékařství,109.0,Veľký,0.08010097311879757
521,Uherské Hradiště,141630,21263,Optometrista,8.0,Veľký,0.08010097311879757
522,Uherské Hradiště,141630,21263,ortopedie a traumatologie pohybového ústrojí,8.0,Veľký,0.08010097311879757
523,Uherské Hradiště,141630,21263,chirurgie,15.0,Veľký,0.08010097311879757
524,Uherské Hradiště,141630,21263,kardiologie,6.0,Veľký,0.08010097311879757
525,Uherské Hradiště,141630,21263,dětské lékařství,5.0,Veľký,0.08010097311879757
526,Vsetín,142703,22182,ortopedie a traumatologie pohybového ústrojí,22.0,Veľký,0.08092802774833799
527,Vsetín,142703,22182,všeobecné praktické lékařství,92.0,Veľký,0.08092802774833799
528,Vsetín,142703,22182,kardiologie,10.0,Veľký,0.08092802774833799
529,Vsetín,142703,22182,praktické lékařství pro děti a dorost,38.0,Veľký,0.08092802774833799
530,Vsetín,142703,22182,zubní lékařství,89.0,Veľký,0.08092802774833799
531,Vsetín,142703,22182,Optometrista,7.0,Veľký,0.08092802774833799
532,Vsetín,142703,22182,chirurgie,13.0,Veľký,0.08092802774833799
533,Vsetín,142703,22182,dětské lékařství,4.0,Veľký,0.08092802774833799
534,Vyškov,92735,15751,zubní lékařství,34.0,Malý,0.04241333461797861
535,Vyškov,92735,15751,ortopedie a traumatologie pohybového ústrojí,8.0,Malý,0.04241333461797861
536,Vyškov,92735,15751,všeobecné praktické lékařství,54.0,Malý,0.04241333461797861
537,Vyškov,92735,15751,praktické lékařství pro děti a dorost,19.0,Malý,0.04241333461797861
538,Vyškov,92735,15751,chirurgie,6.0,Malý,0.04241333461797861
539,Vyškov,92735,15751,Optometrista,11.0,Malý,0.04241333461797861
540,Vyškov,92735,15751,dětské lékařství,7.0,Malý,0.04241333461797861
541,Vyškov,92735,15751,kardiologie,1.0,Malý,0.04241333461797861
542,Zlín,190960,29213,zubní lékařství,147.0,Veľký,0.11812390403699778
543,Zlín,190960,29213,všeobecné praktické lékařství,129.0,Veľký,0.11812390403699778
544,Zlín,190960,29213,kardiologie,14.0,Veľký,0.11812390403699778
545,Zlín,190960,29213,chirurgie,27.0,Veľký,0.11812390403699778
546,Zlín,190960,29213,ortopedie a traumatologie pohybového ústrojí,21.0,Veľký,0.11812390403699778
547,Zlín,190960,29213,praktické lékařství pro děti a dorost,30.0,Veľký,0.11812390403699778
548,Zlín,190960,29213,Optometrista,13.0,Veľký,0.11812390403699778
549,Zlín,190960,29213,dětské lékařství,31.0,Veľký,0.11812390403699778
550,Znojmo,114552,18220,všeobecné praktické lékařství,92.0,Stredný,0.05922959822718952
551,Znojmo,114552,18220,Optometrista,9.0,Stredný,0.05922959822718952
552,Znojmo,114552,18220,zubní lékařství,63.0,Stredný,0.05922959822718952
553,Znojmo,114552,18220,chirurgie,11.0,Stredný,0.05922959822718952
554,Znojmo,114552,18220,ortopedie a traumatologie pohybového ústrojí,10.0,Stredný,0.05922959822718952
555,Znojmo,114552,18220,kardiologie,5.0,Stredný,0.05922959822718952
556,Znojmo,114552,18220,praktické lékařství pro děti a dorost,20.0,Stredný,0.05922959822718952
557,Znojmo,114552,18220,dětské lékařství,7.0,Stredný,0.05922959822718952
558,Ústí nad Labem,118651,19484,všeobecné praktické lékařství,63.0,Stredný,0.06238905482223721
559,Ústí nad Labem,118651,19484,ortopedie a traumatologie pohybového ústrojí,31.0,Stredný,0.06238905482223721
560,Ústí nad Labem,118651,19484,kardiologie,20.0,Stredný,0.06238905482223721
561,Ústí nad Labem,118651,19484,zubní lékařství,62.0,Stredný,0.06238905482223721
562,Ústí nad Labem,118651,19484,chirurgie,23.0,Stredný,0.06238905482223721
563,Ústí nad Labem,118651,19484,Optometrista,8.0,Stredný,0.06238905482223721
564,Ústí nad Labem,118651,19484,praktické lékařství pro děti a dorost,25.0,Stredný,0.06238905482223721
565,Ústí nad Labem,118651,19484,dětské lékařství,9.0,Stredný,0.06238905482223721
566,Ústí nad Orlicí,138011,22266,praktické lékařství pro děti a dorost,28.0,Veľký,0.07731149436361885
567,Ústí nad Orlicí,138011,22266,všeobecné praktické lékařství,80.0,Veľký,0.07731149436361885
568,Ústí nad Orlicí,138011,22266,zubní lékařství,54.0,Veľký,0.07731149436361885
569,Ústí nad Orlicí,138011,22266,chirurgie,31.0,Veľký,0.07731149436361885
570,Ústí nad Orlicí,138011,22266,ortopedie a traumatologie pohybového ústrojí,23.0,Veľký,0.07731149436361885
571,Ústí nad Orlicí,138011,22266,kardiologie,4.0,Veľký,0.07731149436361885
572,Ústí nad Orlicí,138011,22266,Optometrista,8.0,Veľký,0.07731149436361885
573,Ústí nad Orlicí,138011,22266,dětské lékařství,3.0,Veľký,0.07731149436361885
574,Česká Lípa,102998,16740,zubní lékařství,51.0,Stredný,0.05032392330667695
575,Česká Lípa,102998,16740,Optometrista,3.0,Stredný,0.05032392330667695
576,Česká Lípa,102998,16740,všeobecné praktické lékařství,49.0,Stredný,0.05032392330667695
577,Česká Lípa,102998,16740,praktické lékařství pro děti a dorost,25.0,Stredný,0.05032392330667695
578,Česká Lípa,102998,16740,chirurgie,12.0,Stredný,0.05032392330667695
579,Česká Lípa,102998,16740,ortopedie a traumatologie pohybového ústrojí,9.0,Stredný,0.05032392330667695
580,Česká Lípa,102998,16740,kardiologie,4.0,Stredný,0.05032392330667695
581,Česká Lípa,102998,16740,dětské lékařství,3.0,Stredný,0.05032392330667695
582,České Budějovice,196602,32988,všeobecné praktické lékařství,111.0,Veľký,0.12247268522979092
583,České Budějovice,196602,32988,zubní lékařství,15.0,Veľký,0.12247268522979092
584,České Budějovice,196602,32988,Optometrista,16.0,Veľký,0.12247268522979092
585,České Budějovice,196602,32988,ortopedie a traumatologie pohybového ústrojí,19.0,Veľký,0.12247268522979092
586,České Budějovice,196602,32988,chirurgie,28.0,Veľký,0.12247268522979092
587,České Budějovice,196602,32988,praktické lékařství pro děti a dorost,40.0,Veľký,0.12247268522979092
588,České Budějovice,196602,32988,kardiologie,10.0,Veľký,0.12247268522979092
589,České Budějovice,196602,32988,dětské lékařství,24.0,Veľký,0.12247268522979092
590,Český Krumlov,61320,10060,všeobecné praktické lékařství,41.0,Malý,0.018199055785721167
591,Český Krumlov,61320,10060,praktické lékařství pro děti a dorost,35.0,Malý,0.018199055785721167
592,Český Krumlov,61320,10060,Optometrista,6.0,Malý,0.018199055785721167
593,Český Krumlov,61320,10060,chirurgie,8.0,Malý,0.018199055785721167
594,Český Krumlov,61320,10060,zubní lékařství,37.0,Malý,0.018199055785721167
595,Český Krumlov,61320,10060,ortopedie a traumatologie pohybového ústrojí,3.0,Malý,0.018199055785721167
596,Český Krumlov,61320,10060,dětské lékařství,6.0,Malý,0.018199055785721167
597,Český Krumlov,61320,10060,kardiologie,2.0,Malý,0.018199055785721167
598,Šumperk,119967,18604,zubní lékařství,67.0,Stredný,0.06340341073321129
599,Šumperk,119967,18604,všeobecné praktické lékařství,76.0,Stredný,0.06340341073321129
600,Šumperk,119967,18604,Optometrista,7.0,Stredný,0.06340341073321129
601,Šumperk,119967,18604,ortopedie a traumatologie pohybového ústrojí,16.0,Stredný,0.06340341073321129
602,Šumperk,119967,18604,chirurgie,13.0,Stredný,0.06340341073321129
603,Šumperk,119967,18604,kardiologie,6.0,Stredný,0.06340341073321129
604,Šumperk,119967,18604,praktické lékařství pro děti a dorost,29.0,Stredný,0.06340341073321129
605,Šumperk,119967,18604,dětské lékařství,5.0,Stredný,0.06340341073321129
606,Žďár nad Sázavou,117941,18948,všeobecné praktické lékařství,133.0,Stredný,0.0618417959340977
607,Žďár nad Sázavou,117941,18948,ortopedie a traumatologie pohybového ústrojí,16.0,Stredný,0.0618417959340977
608,Žďár nad Sázavou,117941,18948,zubní lékařství,59.0,Stredný,0.0618417959340977
609,Žďár nad Sázavou,117941,18948,praktické lékařství pro děti a dorost,68.0,Stredný,0.0618417959340977
610,Žďár nad Sázavou,117941,18948,Optometrista,10.0,Stredný,0.0618417959340977
611,Žďár nad Sázavou,117941,18948,chirurgie,10.0,Stredný,0.0618417959340977
612,Žďár nad Sázavou,117941,18948,kardiologie,7.0,Stredný,0.0618417959340977
613,Žďár nad Sázavou,117941,18948,dětské lékařství,12.0,Stredný,0.0618417959340977
